Date,DZD,AOA,XOF,BIF,XAF,CVE,DJF,EGP,ERN,ETB,GMD,GHS,GNF,KES,LSL,LRD,LYD,MGA,MWK,MRO,MZN,NAD,NGN,RWF,SLL,SOS,ZAR,SDG,SZL,UGX,USD,ZMW,ZWL
2015-04-30,108.996181,122.465923,658.917646,1764.876941,659.629223,111.034191,199.013899,8.560549,16.949094,23.013925,48.194224,4.318802,8202.540796,106.089837,13.329861,94.81263,1.54323,3452.17427,494.006888,345.233129,39.314684,13.329995,223.084591,775.515646,4872.201428,787.251363,13.328818,6.6951,13.329928,3362.94219,1.121335,8.355249,361.468014
2015-05-31,109.112941,121.142065,655.991398,1711.187537,656.33523,110.158156,194.475549,8.376782,16.58707,22.580104,47.304934,4.452636,8172.394646,107.23299,13.342588,92.970378,1.499981,3509.050109,482.617435,344.761491,40.877555,13.340393,218.428811,756.756045,4753.501936,767.203139,13.341666,6.543084,13.342588,3354.337265,1.097384,7.978671,353.747244
2015-06-30,110.344841,135.084083,656.649595,1754.240333,656.694635,110.265,197.567724,8.510853,16.862261,23.110965,44.069151,4.87132,8411.773288,110.587683,13.60532,93.644578,1.525173,3566.804328,490.498772,364.798137,42.768216,13.597364,222.071297,801.327708,4727.892785,772.484224,13.578263,6.670472,13.597431,3674.539805,1.113756,8.358757,359.060622
2015-07-31,109.165551,138.398696,656.74043,1709.179356,656.741749,110.265,195.347619,8.603256,16.640179,22.911669,43.579419,4.154605,7988.775131,112.438149,13.916573,94.059876,1.507357,3721.191993,508.087329,357.232982,41.875218,13.920543,218.689425,795.519063,4347.991245,735.55058,13.931435,6.627526,13.931907,3766.564158,1.099087,8.424833,354.331664
2015-08-31,119.01444,140.948821,655.582264,1738.716639,656.047305,110.265,199.369851,8.783346,16.981966,23.375485,44.844145,4.420101,8133.088697,116.518159,14.907859,99.277033,1.532093,3700.812326,624.955408,354.644355,46.114339,14.918994,223.33865,797.154115,4201.045053,745.179099,14.905937,6.825399,14.920115,4098.21723,1.121662,9.893173,361.609593
2015-09-30,118.574842,151.189756,655.940613,1749.376347,654.485002,110.265,198.450445,8.745399,16.913763,23.350724,43.611334,4.207215,8105.306719,117.132056,15.523168,96.164913,1.515016,3573.767971,622.387833,326.221695,47.311617,15.516412,222.412299,803.070279,4184.172896,721.901539,15.508055,6.790709,15.516412,4114.945072,1.117157,12.086434,360.157304
2015-10-31,117.620275,148.92958,657.813416,1731.264728,657.027101,110.265,195.500168,8.837119,16.663603,23.206698,42.828344,4.177229,8027.28098,112.152896,15.222172,92.266175,1.499318,3591.388086,613.802723,361.303844,46.666895,15.222091,219.438413,821.874309,4121.463249,684.593159,15.215411,6.725152,15.220991,3924.484014,1.100634,13.853436,354.83046
2015-11-30,114.465695,142.990418,658.169132,1638.301632,657.208088,110.265,187.821644,8.276566,15.852691,22.266971,41.711691,4.022843,8097.554319,107.997637,15.26595,90.982407,1.448593,3451.528687,621.617621,333.732509,46.299115,15.268027,210.415838,787.756694,4489.930949,645.366802,15.25528,6.441553,15.264856,3544.311468,1.056952,11.002168,340.679615
2015-12-31,116.409469,146.864709,658.106737,1695.123329,656.175277,110.265,192.905155,8.506194,16.285706,23.023364,42.759205,4.146153,8397.915277,111.229357,16.773064,94.281953,1.499296,3494.737165,720.944757,339.190983,51.592847,16.815989,216.360194,812.19644,4507.791318,674.378445,16.819181,6.69747,16.814903,3668.394572,1.085822,11.941834,350.055265
2016-01-31,116.676566,168.455136,659.112298,1705.282664,655.913002,110.290162,192.315086,8.506706,16.247311,23.175772,42.881595,4.313306,8438.524261,111.496207,17.204846,91.874776,1.504161,3488.255795,793.774006,372.530493,48.780382,17.28605,216.362224,811.604727,4472.979091,673.018192,17.200522,6.638719,17.2841,3769.270092,1.083046,12.217163,349.090323
2016-02-29,118.194212,172.792613,656.096965,1703.57506,655.589025,110.057812,193.207275,8.532317,16.321537,23.252927,42.864948,4.231207,8297.583675,110.952397,17.348889,92.118759,1.515698,3481.144543,812.488647,372.327752,52.775854,17.377446,216.492243,832.787076,4444.551998,663.643498,17.326702,6.632777,17.375705,3666.90131,1.087994,12.410336,350.755282
2016-03-31,123.529128,182.7384,662.102159,1779.807594,657.958324,110.840094,202.331612,10.103196,17.068441,24.468191,48.646098,4.360819,8644.445428,115.423233,16.875065,96.353555,1.555314,3652.031082,774.275461,390.476602,58.442497,16.851491,226.399894,854.703317,4544.64242,698.831086,16.812366,6.943614,16.850216,3836.018847,1.13801,12.600216,366.8065
2016-07-31,122.542047,184.386135,658.23049,1839.806359,655.605583,110.589503,196.380063,9.919425,17.184665,24.35202,47.307708,4.406839,10036.830621,113.136361,15.482685,100.535756,1.547692,3269.649813,793.8424,394.32418,76.250872,15.773243,356.622673,877.20898,6138.273111,608.800195,15.521064,6.780831,15.738106,3770.095241,1.117065,11.449859,360.09156
2016-08-31,121.84201,184.223957,657.75934,1845.532008,655.449122,110.547327,197.411521,9.885529,17.630019,24.515056,47.243498,4.315302,10031.291095,113.002863,16.020711,100.447224,1.540743,3370.549737,794.645969,393.974943,81.373103,16.356107,339.892703,891.153139,6222.12411,612.725744,16.39493,6.774283,15.826234,3761.175756,1.116076,10.658459,359.772678
